cluster_id,canonical_predicate,paraphrases,size,domain_signature,range_signature,inverse_candidates
6,shall_range_from -2.5 % to +3.0 %,"['shall_not_vary_more_than 2.5 %', 'shall_range_from -2.5 % to +3.0 %']",2,"[{'type_id': 29, 'label': 'case127', 'count': 2, 'ratio': 1.0}]","[{'type_id': 43, 'label': 'cross-sectional area or weight of each shape', 'count': 2, 'ratio': 1.0}]",[]
7,employed_following,"['employed_during', 'employed_following']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
10,shall_maintain_records_of,"['maintains', 'shall_maintain_records_of']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': 77, 'label': 'each heat', 'count': 2, 'ratio': 1.0}]","[{'relation': 'achieved_by', 'score': 2.0}, {'relation': 'offsets', 'score': 1.0}, {'relation': 'occurs_subsequent_to', 'score': 1.0}]"
11,reeled_into,"['reeled_at', 'reeled_into']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
13,provides,"['provide', 'provides']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 90, 'label': 'Structural Products', 'count': 1, 'ratio': 0.25}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.0}, {'relation': 'is_acceptable', 'score': 1.0}, {'relation': 'is_calculated_as', 'score': 1.0}, {'relation': 'exhibits', 'score': 0.5}, {'relation': 'furnished_with', 'score': 0.5}]"
14,invited_for,"['added', 'invited_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 4, 'label': 'Users of this standard', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.8536}, {'relation': 'is_acceptable', 'score': 1.8536}, {'relation': 'is_calculated_as', 'score': 1.0}, {'relation': 'refers_to', 'score': 1.0}]"
17,consistent_with,"['consistent_with', 'has_same_validity_as']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
19,independent_of,"['independent_of', 'to_be_used_independently_of']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
20,used_to_produce,"['used_to_designate', 'used_to_produce']",2,"[{'type_id': 14, 'label': 'edge produced by machining', 'count': 1, 'ratio': 0.5}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.5}]","[{'type_id': 14, 'label': 'edge produced by machining', 'count': 1, 'ratio': 0.5}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.5}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.0}, {'relation': 'is_acceptable', 'score': 1.0}, {'relation': 'is_calculated_as', 'score': 1.0}, {'relation': 'does_not_conform_to', 'score': 0.5}]"
21,comparable_to,"['comparable_to', 'equals_approximately']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
22,has_identification_option_OR,"['has_identification_option_OR', 'has_option']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.6667}, {'type_id': 77, 'label': 'each heat', 'count': 2, 'ratio': 0.2222}, {'type_id': 66, 'label': 'bars', 'count': 1, 'ratio': 0.1111}]","[{'relation': 'achieved_by', 'score': 1.0}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.9932}, {'relation': 'is_a', 'score': 0.9932}, {'relation': 'is_a_function_of', 'score': 0.9932}, {'relation': 'offsets', 'score': 0.5}]"
24,specifies,"['specifies', 'specifies_use_of']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
26,not_exact_conversions_of,"['are_not_exact_equivalents', 'not_exact_conversions_of']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
27,rounded_to_nearest,"['rounded_to', 'rounded_to_nearest']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
29,measured_from,"['can_be_measured_in', 'measured_from']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
30,adjacent_to,"['adjacent_to', 'reached_between']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
31,attained_by,"['attained_by', 'prequalified_by']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
33,has_page,"['has_page', 'has_page_number']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
34,cool_to,"['cool_to', 'points_to']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
37,adds_to,"['added_to', 'adds_to']",2,"[{'type_id': 5, 'label': '1/2B±E1', 'count': 2, 'ratio': 0.6667}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.3333}]","[{'type_id': 5, 'label': '1/2B±E1', 'count': 2, 'ratio': 0.6667}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'subtracted_by', 'score': 1.0}, {'relation': 'multiplied_by', 'score': 1.0}, {'relation': 'multiplied_by 0.5', 'score': 1.0}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.0}, {'relation': 'is_acceptable', 'score': 1.0}]"
39,refer_to,"['refer_to', 'refers_to']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.6}, {'type_id': 49, 'label': 'Fine Austenitic Grain Size', 'count': 1, 'ratio': 0.2}, {'type_id': 4, 'label': 'Users of this standard', 'count': 1, 'ratio': 0.2}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.6}, {'type_id': 20, 'label': 'Section 6', 'count': 1, 'ratio': 0.2}, {'type_id': 19, 'label': 'Appendix X1', 'count': 1, 'ratio': 0.2}]","[{'relation': 'invited_for', 'score': 1.0}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.8536}, {'relation': 'moisture', 'score': 0.8536}, {'relation': 'covers', 'score': 0.7463}, {'relation': 'includes_determination_of', 'score': 0.7442}]"
40,encountered_when,"['encountered_when', 'encountered_when_using']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': 52, 'label': 'legs of bulb angles', 'count': 1, 'ratio': 0.5}, {'type_id': 54, 'label': 'Tension Tests', 'count': 1, 'ratio': 0.5}]","[{'relation': 'achieved_by', 'score': 1.0}, {'relation': 'offsets', 'score': 1.0}, {'relation': 'occurs_subsequent_to', 'score': 1.0}]"
41,substituted_for,"['not_substituted_for', 'substituted_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
42,not_intended_to_define,"['intended_to_be_processed_into', 'not_intended_to_define']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
43,not_classed_as,"['cannot_be_classified_as', 'not_classed_as']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
44,regarded_as,"['regarded_as', 'regarded_separately_from']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
45,varies_within,"['varies_as_function_of', 'varies_within']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.4286}, {'type_id': 12, 'label': 'processing', 'count': 2, 'ratio': 0.2857}, {'type_id': 27, 'label': 'same heat', 'count': 2, 'ratio': 0.2857}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.5772}, {'relation': 'includes_component', 'score': 0.8811}, {'relation': 'is_a_function_of', 'score': 0.8536}, {'relation': 'involves_addition_of', 'score': 0.7236}, {'relation': 'is_a', 'score': 0.7236}]"
47,considered_by,"['characterized_by', 'considered_by']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
48,established_by,"['established_by', 'issued_by']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
52,causes,"['caused_by', 'causes']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
53,limited_by,"['increased_by', 'limited_by']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
58,limits,"['beyond_limits_of', 'limits']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
59,permitted_in,"['permitted_in', 'permitted_to']",2,"[{'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.5}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.5}]","[{'type_id': 21, 'label': '11.4.4', 'count': 1, 'ratio': 0.5}, {'type_id': 77, 'label': 'each heat', 'count': 1, 'ratio': 0.5}]","[{'relation': 'achieved_by', 'score': 1.0}, {'relation': 'is_type_of', 'score': 0.5}, {'relation': 'conforming_to', 'score': 0.5}, {'relation': 'required_to_maintain', 'score': 0.5}, {'relation': 'offsets', 'score': 0.5}]"
60,performed_by,"['performed_by', 'performed_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.6667}, {'type_id': 71, 'label': 'tests', 'count': 2, 'ratio': 0.2222}, {'type_id': 23, 'label': 'permanently affixed, colorfast, weather-resistant labels or tags', 'count': 1, 'ratio': 0.1111}]","[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.9564}, {'relation': 'is_acceptable', 'score': 1.0}, {'relation': 'is_calculated_as', 'score': 1.0}, {'relation': 'may_be_achieved_with', 'score': 0.9564}, {'relation': 'may_be_performed_by', 'score': 0.9564}]"
61,is_prohibited,"['is_acceptable', 'is_prohibited']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'is_considered_qualified', 'score': 1.0}, {'relation': 'is_acceptable', 'score': 1.0}]"
62,permissible_to_represent,"['permissible_to_represent', 'permitted_to_represent']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
63,permitted_to_be,"['permitted_to_be', 'permitted_to_make']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
64,see_section,"['includes_section', 'see_section']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
65,see_clause,"['see_clause', 'see_reference']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
68,defined_in,"['defined_as', 'defined_in']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 36, 'ratio': 0.878}, {'type_id': 14, 'label': 'edge produced by machining', 'count': 2, 'ratio': 0.0488}, {'type_id': 90, 'label': 'Structural Products', 'count': 1, 'ratio': 0.0244}, {'type_id': 128, 'label': 'heat analysis for the remelted heat shall be determined from one test sample taken from each remelted ingot from the primary heat', 'count': 1, 'ratio': 0.0244}, {'type_id': 41, 'label': 'carbon', 'count': 1, 'ratio': 0.0244}]","[{'type_id': -1, 'label': 'UNK', 'count': 35, 'ratio': 0.8537}, {'type_id': 14, 'label': 'edge produced by machining', 'count': 2, 'ratio': 0.0488}, {'type_id': 15, 'label': 'wide-flange shapes', 'count': 1, 'ratio': 0.0244}, {'type_id': 76, 'label': 'vacuum degassing while molten', 'count': 1, 'ratio': 0.0244}, {'type_id': 20, 'label': 'Section 6', 'count': 1, 'ratio': 0.0244}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.7858}, {'relation': 'involved_in', 'score': 0.9971}, {'relation': 'involves_addition_of', 'score': 0.9971}, {'relation': 'has_status', 'score': 0.8501}, {'relation': 'applies_to', 'score': 0.7937}]"
72,produced_by,"['produced_by', 'produced_from']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 28, 'ratio': 0.6222}, {'type_id': 90, 'label': 'Structural Products', 'count': 8, 'ratio': 0.1778}, {'type_id': 14, 'label': 'edge produced by machining', 'count': 7, 'ratio': 0.1556}, {'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.0222}, {'type_id': 6, 'label': 'tests from specified thicknesses in accordance with 11.4 and encompassing the thicknesses in a shipment', 'count': 1, 'ratio': 0.0222}]","[{'type_id': -1, 'label': 'UNK', 'count': 36, 'ratio': 0.8}, {'type_id': 10, 'label': 'rolling between horizontal finishing rolls', 'count': 3, 'ratio': 0.0667}, {'type_id': 14, 'label': 'edge produced by machining', 'count': 2, 'ratio': 0.0444}, {'type_id': 39, 'label': 'basic-oxygen furnace', 'count': 2, 'ratio': 0.0444}, {'type_id': 76, 'label': 'vacuum degassing while molten', 'count': 1, 'ratio': 0.0222}]","[{'relation': 'defined_as', 'score': 0.9801}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.9736}, {'relation': 'involved_in', 'score': 0.9736}, {'relation': 'directly_controls_or_is_responsible_for', 'score': 0.9714}, {'relation': 'representative_of', 'score': 0.9714}]"
74,vary_with,"['might_vary_outside', 'vary_with']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
75,meets_definition,"['meets', 'meets_definition']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
76,contained_in,"['contained_in', 'included_in']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
80,do_not_contain,"['do_not_contain', 'shall_not_contain']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
81,contain,"['contain', 'contains']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
82,meets_requirements_of,"['meets_requirement', 'meets_requirements_of']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
84,required_to,"['required_for', 'required_to']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}]"
